2024 - Tender Sebutharga Summary,,,,,,,Awarded to Gaia,PO from dealer,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No ,Starting Date,Due Date,Institutions/University,Reference No,Bidding Title,SalesPerson,Product Brand,Product Model,Amount Value,Submitted Date,Submission Method,Success,Winning Company,Remark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"29 December, 2023","8 January, 2024",UM,Y4/Y401/2023/10/56905,ELISA KIT [ATTN: MDRVAKS],ET Lim,ELK Biotech,Elisa Kits,"RM8,790.00","4 January, 2024",Online Bidding,,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"13 December, 2023","5 January, 2024",UTAR,FS/DBS/2024/E007,RFQ Refrigerated Centrifuge,Choi,Dynamica,Velocity 14R Pro,"RM31,600.00","4 January, 2024",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"12 January, 2024","15 January, 2024",UKM ,NETSDP202401037 ,"	MEMBEKAL DAN MENGHANTAR BAHAN ELISA KIT UNTUK KEGUNAAN PENYELIDIKAN AMIRUL HAFIZ-P126176 , PUSAT KAJIAN TOKSIKOLOGI DAN RISIKO KESIHATAN , FSK, UKMKL MENGGUNAKAN PERUNTUKAN TAP -K014805",ET Lim,ELK Biotech,Elisa Kits,"RM1,850.00","12 January, 2024",Online Bidding,No,PLT SCIENTIFIC SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"12 January, 2024","15 January, 2024",UKM ,NETSDP202401119 ,MEMBEKALKAN KEPERLUAN BAHAN PAKAI HABIS PENYELIDIKAN - 1 KB DNA LADDER (DR AHMAD BAZLI),ET Lim,Simply,DNA Ladder,RM270.00,"12 January, 2024",Online Bidding,No,BIOTEK ABADI SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"12 January, 2024","16 January, 2024",UKM ,NETSDP202401114,MEMBEKAL DAN MENGHANTAR PERALATAN `SPIN COATER' UNTUK MAKMAL PENYELIDIKAN N/PKEES 008/2024 PRGS/1/2023/ICT10/UKM/01/01 (KETUA PROJEK : PROF DR MOHD SYUHAIMI BIN AB RAHMAN,Shahrul,Ossila,Spin Coater,"RM14,500.00","16 January, 2024",Online Bidding,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"12 January, 2024","15 January, 2024",UKM ,NETSDP202401037 ,"MEMBEKAL DAN MENGHANTAR BAHAN ELISA KIT UNTUK KEGUNAAN PENYELIDIKAN AMIRUL HAFIZ-P126176 , PUSAT KAJIAN TOKSIKOLOGI DAN RISIKO KESIHATAN , FSK, UKMKL MENGGUNAKAN PERUNTUKAN TAP -K014805",ET Lim,ELK Biotech,Elisa Kits,"RM1,850.00","12 January, 2024",Online Bidding,No,PLT SCIENTIFIC SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"12 January, 2024","15 January, 2024",UKM ,NETSDP202401119 ,"	MEMBEKALKAN KEPERLUAN BAHAN PAKAI HABIS PENYELIDIKAN - 1 KB DNA LADDER (DR AHMAD BAZLI)",ET Lim,Simply,DNA Ladder,RM270.00,"12 January, 2024",Online Bidding,No,BIOTEK ABADI SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"12 January, 2024","17 January, 2024",UKM ,NETSDP202401174,"	
MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH GUNA ALAT VACUUM PUMP UNTUK INSTITUT BIOLOGI SISTEM, UKM.",ET Lim,Rocker,Vacuum Pump 403,"RM2,020.00","16 January, 2024",Online Bidding,No,BIOTEK ABADI SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"17 January, 2024","23 January, 2024",UKM ,NETSDP202401685,MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS ELISA KIT KE JABATAN FARMAKOLOGI MENGGUNAKAN GERAN GUP-2021-034. KETUA GERAN DR. WONG SOK KUAN,ET Lim,ELK Biotech,Elisa Kits,"RM4,740.00","18 January, 2024",Online Bidding,No,INSPHIRO TECHNOLOGIES SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"18 January, 2024","20 January, 2024",UKM ,NETSDP202401911,MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS UNTUK PROJEK PENYELIDIKAN DR SAIFUL MANSOR PERUNTUKAN ST-2022-029 DI JABATAN SAINS BIOLOGI DAN BIOTEKNOLOGI FST,ET Lim,ELK Biotech,Elisa Kits,"RM1,320.00","18 January, 2024",Online Bidding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
