2025 - Tender Sebutharga Summary,,,,,,,Awarded to Gaia,PO from dealer,Cancelled,,,,,
No ,Starting Date,Due Date,Institutions/University,Reference No,Bidding Title,SalesPerson,Product Brand,Product Model,Amount Value,Submitted Date,Submission Method,Success,Winning Company,Remark
1,"23 December, 2024","2 January, 2025",USM,SH1/24/P/PCCB/U/00286,"MEMBEKAL, MENGHANTAR, MEMASANG DAN KOMISYEN ALATAN FREEZE-DRY, PUSAT BIOLOGI KIMIA, UNIVERSITI SAINS MALAYSIA, PULAU PINANG",Choi,Buchi,Freeze Dryer Lyovapor L-250,"RM218,530.00","30 December, 2024",Hardcopy by Courier,,,
2,"18 December, 2024","31 December, 2024",MPOB,MPOB (SH/PDAS/NUTRITION)BIL.24/2024,"CADANGAN PEROLEHAN BAGI MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJILARI TIGA (3) UNIT PETI SEJUK -80°C UNTUK UNIT PEMAKANAN, DI BANGUNAN PENYELIDIKAN PRA-KLINIKAL, IBU PEJABAT MPOB DAN TINGKAT 1, WISMA OLEIFERA",Choi,Mether,Ultra low freezer,"RM186,910.00","31 December, 2024",Hardcopy by Hand,Yes,,DMB Kembara & Gaia Science
3,"30 December, 2024","6 January, 2025",USM,SH1/24/P/CIPPM/U/00212,"TO SUPPLY, DELIVER, INSTALL AND COMMISION ""BIOSAFETY CABINET (LEVEL II CLASS A2)"" TO INSTITUTE FOR RESEARCH IN MOLECULAR MEDICINE (INFORMM), UNIVERSITI SAINS MALAYSIA (USM) MAIN CAMPUS, PENANG",Choi,Nuaire,Biological Safety Cabinet,"RM59,500.00","2 January, 2025",Hardcopy by Courier,,,DMB Kembara
4,"31 December, 2024","6 January, 2025",USM,SH1/24/P/PFIZIK/U/00177,"TO SUPPLY, DELIVER AND INSTALL ""SOLAR SIMULATOR SYSTEM"" TO SCHOOL OF PHYSICS, UNIVERSITI SAINS MALAYSIA, KAMPUS INDUK, PULAU PINANG.",Shahrul,Peccell,Solar Simulator,"RM136,630.00","3 January, 2025",Hardcopy by Hand,Yes,,
5,"2 January, 2025","8 January, 2025",USM,SH1/24/P/CIPPM/U/00212,"TO SUPPLY, DELIVER, INSTALL AND COMMISSION OF “BIOLOGICAL SAFETY CABINET CLASS II” TO ANIMAL RESEARCH AND SERVICE CENTRE (ARASC), MAIN CAMPUS, UNIVERSITI SAINS MALAYSIA, PULAU PINANG.
",Choi,Nuaire,Biological Safety Cabinet,"RM59,975.00","6 January, 2025",Hardcopy by Courier,,,DMB Kembara
6,"3 January, 2025","8 January, 2025",UKM,NETSDP202500203,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAHGUNA ALAT PENYELIDIKAN KE MAKMAL INBIOSIS, UKM (RP3) : BUNSEN BURNER
",Suzanna,WLD-Tec,Fuego SCS ,"RM3,600.00","8 January, 2025",Online Bidding,No,COPENS SCIENTIFIC (M) SDN BHD,
7,"8 January, 2025","10 January, 2025",UITM,UiTM/B2/PER/PT/B/0125/0002,"CADANGAN MEMBEKAL, MENGHANTAR, MEMASANG DAN MENYELENGGARA SATU (1) UNIT SPECTROPHOTOMETER KE MAKAMAL PENGAJARAN SAINS BIOLOGI, FAKULTI PENDIDIKAN, KAMPUS UiTM PUNCAK ALAM, CAWANGAN SELANGOR.",ET Lim,Techcomp,UV2500,"RM32,230.00","10 January, 2025",Online Bidding,,,
8,"10 January, 2025","13 January, 2025",UKM,NETSDP202500740,"MEMBEKAL PERKHIDMATAN PENYELENGGARAAN DAN KALIBRASI MESIN MAKMAL UNTUK KEPERLUAN JABATAN KEJURUTERAAN MEKANIKAL DAN PEMBUATAN, FKAB DENGAN MENGGUNAKAN PERUNTUKAN FRGS/1/2024/TK10/UKM/02/1 (NP:KM12/25/P)",Gan Wan Han,Mettler Toledo,LE410,"RM1,475.00","10 January, 2025",Online Bidding,Yes,,
9,"30 December, 2024","13 January, 2025",USM,SH1/24/P/PCCB/U/00287,"MEMBEKAL, MENGHANTAR, MEMASANG DAN KOMISYEN ALATAN -80 FREEZER, PUSAT BIOLOGI KIMIA,
UNIVERSITI SAINS MALAYSIA, PULAU PINANG.",Choi,Mether,MDF-86V838 Ultra Low Freezer,"RM141,400.00","9 January, 2025",Hardcopy by Hand,,,
10,"3 January, 2025","9 January, 2025",USM,SH1/24/P/CDADAH/U/00183,"TO SUPPLY, DELIVER, INSTALL AND COMMISSIONING OF
""ULTRALOW TEMPERATURE FREEZER "" TO CENTRE FOR DRUG RESEARCH OFFICE
(CDR), UNIVERSITI SAINS MALAYSIA, MAIN CAMPUS, PENANG",Choi,Mether,MDF-86V588 Ultra Low Freezer,"RM104,970.00","9 January, 2025",Hardcopy by Hand,,,
11,"3 January, 2025","9 January, 2025",USM,"SH1/24/P/CDADAH/U/00182","TO SUPPLY, DELIVER, INSTALL AND
COMMISSIONING OF ""FREEZE DRYER""
TO CENTRE FOR DRUG RESEARCH
OFFICE (CDR), UNIVERSITI SAINS
MALAYSIA, MAIN CAMPUS, PULAU
PINANG",Choi,Buchi,Lyovapor-L200 Pro,"RM137,950.00","9 January, 2025",Hardcopy by Hand,,,
12,"13 January, 2025","14 January, 2025",UKM,NETSDP202500904,"MEMBEKAL DAN MENGHANTAR BAHAN PENYELIDIKAN "" VORTEX GENIE 2"" UNTUK KEGUNAAN PROF MADYA DR. ELENA AISHA KOD PROJEK: LRGS/1/2021/SKK15/UKM/02/2",Suzanna,"Scientific Industries, Logos Biosystem",AO/PI & Vortex mixer,"RM2,460.00","14 January, 2025",Online Bidding,,,
13,"14 January, 2025","21 January, 2025",UM,K/K10/2024/11/1242,Efficiency test of negative pressure system,Hock Seng,,Service charge,"RM40,000.00","14 January, 2025",Online Bidding,Yes,,
